Comment,Designator,Footprint,LCSC Part #
,EBYTEE220-900T22D1,EBYTEE220-900T22D,
,D5,SOD123,
,D8,SOD123,
,SUPER-STEPDOWN1,SUPER-STEPDOWN,
,TTL-RS1,TTL-RS485,
,TTL-RS2,TTL-RS485,
1uF,C4 C8 C9,C0805K,
10k,R5 R7,0207/12,
10k,R1 R2 R3 R4 R6 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19,M0805,
10uF/16V,C3,153CLV-0505,
12MHz,Q1,SM49,
22pF,C1 C2,C0805K,
100nF,C5 C6 C7,C0805K,
10118193-0001LF,J1,FCI_10118193-0001LF,
AMS1117,U2,SOT229P700X180-4N,
CH340G,U1,SOIC127P600X180-16N,
ESP32-WROOM-32D,U3,MODULE_ESP32-WROOM-32D,
MCP23017SS,IC1,SSOP28,
MMBT3904,Q2 Q3,SOT95P240X120-3N,
MSTBA2,X1 X2 X3,MSTBA2,
PC817X2NIP0F,U4 U5,SOT254P975X400-4N,
SML-LXT0805IW-TR,D4 D7 D10 D11,LEDC2012X120N,
SS24,D1 D3,DIOM5336X265N,
TL1015AF160QG,S1 S2,SW_TL1015AF160QG,
TLLY4400,D9 D12 D13,LED3MM,
US1M-13,D2 D6,DIOM5226X240N,
