Designator,Mid X,Mid Y,Layer,Rotation
C1,84.67,38.76,Top,0.0
C2,84.64,40.97,Top,0.0
C3,83.09,64.09,Top,90.0
C4,78.61,28.93,Top,90.0
C5,91.84,30.91,Top,0.0
C6,103.93,26.99,Top,180.0
C7,103.36,34.58,Top,180.0
C8,90.45,21.59,Bottom,0.0
C9,90.36,24.30,Bottom,0.0
D1,107.43,23.95,Bottom,0.0
D2,67.22,53.80,Bottom,90.0
D3,107.46,28.48,Bottom,0.0
D4,67.82,43.76,Top,180.0
D5,70.02,53.52,Bottom,90.0
D6,72.78,53.74,Bottom,90.0
D7,72.70,43.77,Top,180.0
D8,75.47,53.61,Bottom,90.0
D9,78.63,58.65,Top,0.0
D10,72.87,36.56,Top,180.0
D11,72.84,39.16,Top,180.0
D12,78.63,48.65,Top,0.0
D13,78.63,38.65,Top,0.0
EBYTEE220-900T22D1,109.87,56.80,Top,270.0
IC1,124.43,73.01,Bottom,270.0
J1,81.84,20.47,Top,0.0
Q1,85.19,50.75,Top,270.0
Q2,108.76,28.90,Top,270.0
Q3,108.75,33.20,Top,270.0
R1,104.66,30.93,Top,270.0
R2,102.23,30.94,Top,90.0
R3,108.75,25.46,Top,0.0
R4,108.83,36.75,Top,0.0
R5,69.47,53.82,Top,270.0
R6,116.12,75.14,Bottom,180.0
R7,72.78,53.98,Top,270.0
R8,116.07,77.45,Bottom,180.0
R9,116.15,72.98,Bottom,0.0
R10,136.03,73.66,Bottom,180.0
R11,136.06,71.47,Bottom,180.0
R12,136.00,69.28,Bottom,180.0
R13,116.16,68.71,Bottom,0.0
R14,116.16,70.83,Bottom,0.0
R15,78.58,53.90,Top,180.0
R16,68.50,36.55,Top,0.0
R17,68.48,39.14,Top,0.0
R18,78.73,45.08,Top,180.0
R19,78.74,42.35,Top,180.0
S1,103.30,23.89,Top,180.0
S2,103.52,37.65,Top,180.0
SUPER-STEPDOWN1,114.33,80.44,Top,270.0
TTL-RS1,117.11,45.45,Bottom,270.0
TTL-RS2,132.88,45.41,Bottom,270.0
U1,84.97,31.43,Top,180.0
U2,97.21,25.93,Bottom,0.0
U3,100.45,44.53,Bottom,180.0
U4,104.29,66.29,Top,0.0
U5,92.16,66.22,Top,0.0
X1,107.63,77.14,Top,180.0
X2,95.39,77.14,Top,180.0
X3,83.16,77.11,Top,180.0
